location,date,new_deaths
Austria,2021-07-04,6.0
Austria,2021-07-05,4.0
Austria,2021-07-06,2.0
Austria,2021-07-07,0.0
Austria,2021-07-08,3.0
Austria,2021-07-09,2.0
Austria,2021-07-10,2.0
Belgium,2020-07-20,5.0
Belgium,2020-07-21,0.0
Belgium,2020-07-22,3.0
Belgium,2020-07-23,4.0
Belgium,2020-07-24,5.0
Belgium,2020-07-25,4.0
Belgium,2020-07-26,0.0
Belgium,2020-07-27,1.0
Belgium,2020-07-28,11.0
Belgium,2020-07-29,3.0
Belgium,2020-07-30,4.0
Belgium,2020-07-31,1.0
Belgium,2020-08-01,4.0
Belgium,2020-08-02,0.0
Belgium,2020-08-03,5.0
Belgium,2020-08-04,2.0
Belgium,2020-08-05,7.0
Belgium,2020-08-06,2.0
Belgium,2020-08-07,5.0
Belgium,2020-08-08,4.0
Belgium,2020-08-09,2.0
Belgium,2020-08-10,7.0
Belgium,2020-08-11,6.0
Belgium,2020-08-12,15.0
Belgium,2020-08-13,16.0
Belgium,2020-08-14,8.0
Belgium,2020-08-15,11.0
Belgium,2020-08-16,4.0
Belgium,2020-08-17,5.0
Belgium,2020-08-18,15.0
Belgium,2020-08-19,10.0
Belgium,2020-08-20,7.0
Belgium,2020-08-21,9.0
Belgium,2020-08-22,3.0
Belgium,2020-08-23,4.0
Belgium,2020-08-24,4.0
Belgium,2020-08-25,0.0
Belgium,2020-08-27,5.0
Belgium,2020-08-28,2.0
Belgium,2020-08-29,5.0
Belgium,2020-08-30,3.0
Belgium,2020-08-31,1.0
Belgium,2020-09-01,2.0
Belgium,2020-09-02,1.0
Belgium,2020-09-03,1.0
Belgium,2020-09-04,2.0
Belgium,2020-09-05,5.0
Belgium,2020-09-06,1.0
Belgium,2020-09-07,2.0
Belgium,2020-09-08,3.0
Belgium,2020-09-09,5.0
Belgium,2020-09-10,0.0
Belgium,2020-09-11,2.0
Belgium,2020-09-12,4.0
Belgium,2020-09-13,2.0
Belgium,2020-09-14,2.0
Belgium,2020-09-15,3.0
Belgium,2020-09-16,5.0
Belgium,2020-09-17,1.0
Belgium,2020-09-18,1.0
Belgium,2020-09-19,7.0
Belgium,2020-09-20,4.0
Belgium,2020-09-21,2.0
Belgium,2020-09-22,5.0
Belgium,2020-09-23,4.0
Belgium,2020-09-24,6.0
Belgium,2020-09-25,4.0
Belgium,2020-09-26,5.0
Belgium,2020-09-27,6.0
Belgium,2020-09-28,7.0
Belgium,2020-09-29,14.0
Belgium,2020-09-30,15.0
Belgium,2020-10-01,7.0
Belgium,2020-10-02,14.0
Belgium,2020-10-03,7.0
Belgium,2020-10-04,20.0
Belgium,2020-10-05,14.0
Belgium,2020-10-06,14.0
Belgium,2020-10-07,16.0
Belgium,2020-10-08,18.0
Belgium,2020-10-09,25.0
Belgium,2020-10-10,24.0
Belgium,2020-10-11,16.0
Belgium,2020-10-12,20.0
Belgium,2020-10-13,33.0
Belgium,2020-10-14,34.0
Belgium,2020-10-15,49.0
Belgium,2020-10-16,32.0
Belgium,2020-10-17,33.0
Belgium,2020-10-18,21.0
Belgium,2020-10-19,30.0
Belgium,2020-10-20,46.0
Belgium,2020-10-21,50.0
Belgium,2020-10-22,49.0
Belgium,2020-10-23,70.0
Belgium,2020-10-24,79.0
Belgium,2020-10-25,73.0
Belgium,2020-10-26,89.0
Belgium,2020-10-27,139.0
Belgium,2020-10-28,132.0
Belgium,2020-10-29,138.0
Belgium,2020-10-30,144.0
Belgium,2020-10-31,173.0
Belgium,2020-11-01,112.0
Belgium,2020-11-02,121.0
Belgium,2020-11-03,268.0
Belgium,2020-11-04,205.0
Belgium,2020-11-05,189.0
Belgium,2020-11-06,188.0
Belgium,2020-11-07,199.0
Belgium,2020-11-08,148.0
Belgium,2020-11-09,161.0
Belgium,2020-11-10,345.0
Belgium,2020-11-11,197.0
Belgium,2020-11-12,133.0
Belgium,2020-11-13,215.0
Belgium,2020-11-14,197.0
Belgium,2020-11-15,118.0
Belgium,2020-11-16,195.0
Belgium,2020-11-17,223.0
Belgium,2020-11-18,186.0
Belgium,2020-11-19,171.0
Belgium,2020-11-20,156.0
Belgium,2020-11-21,170.0
Belgium,2020-11-22,96.0
Belgium,2020-11-23,137.0
Belgium,2020-11-24,183.0
Belgium,2020-11-25,139.0
Belgium,2020-11-26,142.0
Belgium,2020-11-27,120.0
Belgium,2020-11-28,122.0
Belgium,2020-11-29,86.0
Belgium,2020-11-30,98.0
Belgium,2020-12-01,141.0
Belgium,2020-12-02,125.0
Belgium,2020-12-03,122.0
Belgium,2020-12-04,109.0
Belgium,2020-12-05,112.0
Belgium,2020-12-06,66.0
Belgium,2020-12-07,66.0
Belgium,2020-12-08,121.0
Belgium,2020-12-09,96.0
Belgium,2020-12-10,89.0
Belgium,2020-12-11,0.0
Belgium,2020-12-12,100.0
Belgium,2020-12-13,159.0
Belgium,2020-12-14,103.0
Belgium,2020-12-15,124.0
Belgium,2020-12-16,100.0
Belgium,2020-12-17,93.0
Belgium,2020-12-18,84.0
Belgium,2020-12-19,90.0
Belgium,2020-12-20,81.0
Belgium,2020-12-21,71.0
Belgium,2020-12-22,124.0
Belgium,2020-12-23,118.0
Belgium,2020-12-24,99.0
Belgium,2020-12-25,51.0
Belgium,2020-12-26,69.0
Belgium,2020-12-27,42.0
Belgium,2020-12-28,34.0
Belgium,2020-12-29,127.0
Belgium,2020-12-30,80.0
Belgium,2020-12-31,87.0
Belgium,2021-01-01,53.0
Belgium,2021-01-02,63.0
Belgium,2021-01-03,57.0
Belgium,2021-01-04,49.0
Belgium,2021-01-05,77.0
Belgium,2021-01-06,56.0
Belgium,2021-01-07,53.0
Belgium,2021-01-08,56.0
Belgium,2021-01-09,46.0
Belgium,2021-01-10,40.0
Belgium,2021-01-11,44.0
Belgium,2021-01-12,72.0
Belgium,2021-01-13,56.0
Belgium,2021-01-14,44.0
Belgium,2021-01-15,58.0
Belgium,2021-01-16,44.0
Belgium,2021-01-17,39.0
Belgium,2021-01-18,37.0
Belgium,2021-01-19,82.0
Belgium,2021-01-20,18.0
Belgium,2021-01-21,48.0
Belgium,2021-01-22,55.0
Belgium,2021-01-23,51.0
Belgium,2021-01-24,53.0
Belgium,2021-01-25,35.0
Belgium,2021-01-26,65.0
Belgium,2021-01-27,54.0
Belgium,2021-01-28,49.0
Belgium,2021-01-29,36.0
Belgium,2021-01-30,48.0
Belgium,2021-01-31,26.0
Belgium,2021-02-01,32.0
Belgium,2021-02-02,49.0
Belgium,2021-02-03,43.0
Belgium,2021-02-04,44.0
Belgium,2021-02-05,35.0
Belgium,2021-02-06,57.0
Belgium,2021-02-07,37.0
Belgium,2021-02-08,34.0
Belgium,2021-02-09,49.0
Belgium,2021-02-10,40.0
Belgium,2021-02-11,39.0
Belgium,2021-02-12,48.0
Belgium,2021-02-13,35.0
Belgium,2021-02-14,28.0
Belgium,2021-02-15,40.0
Belgium,2021-02-16,48.0
Belgium,2021-02-17,43.0
Belgium,2021-02-18,28.0
Belgium,2021-02-19,38.0
Belgium,2021-02-20,28.0
Belgium,2021-02-21,16.0
Belgium,2021-02-22,20.0
Belgium,2021-02-23,33.0
Belgium,2021-02-24,32.0
Belgium,2021-02-25,18.0
Belgium,2021-02-26,28.0
Belgium,2021-02-27,18.0
Belgium,2021-02-28,25.0
Belgium,2021-03-01,29.0
Belgium,2021-03-02,35.0
Belgium,2021-03-03,28.0
Belgium,2021-03-04,27.0
Belgium,2021-03-05,19.0
Belgium,2021-03-06,25.0
Belgium,2021-03-07,21.0
Belgium,2021-03-08,31.0
Belgium,2021-03-09,35.0
Belgium,2021-03-10,20.0
Belgium,2021-03-11,23.0
Belgium,2021-03-12,27.0
Belgium,2021-03-13,24.0
Belgium,2021-03-14,20.0
Belgium,2021-03-15,104.0
